epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,954.568,0.85988,1.09086,1.05793,0.9111,0.94606,0.96954,0.76918,0.77171,1.24489,1.02696,0.0012278,0.0012278,0.0012278
41,981.906,0.82617,1.09492,1.07397,0.92172,0.9058,0.96561,0.7851,0.7448,1.25877,1.01766,0.001208,0.001208,0.001208
42,1007.37,0.7736,1.14802,1.00339,0.87046,0.90769,0.93404,0.76606,0.69378,1.32645,1.01115,0.0011882,0.0011882,0.0011882
43,1040.22,0.77983,1.03336,0.9959,0.87046,0.90769,0.93404,0.76606,0.69378,1.32645,1.01115,0.0011684,0.0011684,0.0011684
44,1067.1,0.81722,1.09052,1.04896,0.85739,0.92496,0.94593,0.76838,0.68492,1.23338,1.01427,0.0011486,0.0011486,0.0011486
45,1094.74,0.8092,1.04411,1.06759,0.96677,0.89534,0.97468,0.80437,0.65875,1.09324,1.00557,0.0011288,0.0011288,0.0011288
46,1124.79,0.7404,0.99272,0.97992,0.98391,0.94076,0.98783,0.83947,0.63631,0.97619,0.98725,0.001109,0.001109,0.001109
47,1153.64,0.78332,0.98277,1.02396,0.98391,0.94076,0.98783,0.83947,0.63631,0.97619,0.98725,0.0010892,0.0010892,0.0010892
48,1183.62,0.66893,0.96884,1.00099,0.98271,0.96923,0.98962,0.83883,0.64578,0.96203,0.98522,0.0010694,0.0010694,0.0010694
49,1217.28,0.68162,1.02149,0.98934,0.99935,0.96923,0.99191,0.84835,0.60448,0.99683,0.96406,0.0010496,0.0010496,0.0010496
50,1244.63,0.71108,0.92385,0.95977,1,0.97923,0.9939,0.87214,0.56302,0.99981,0.94204,0.0010298,0.0010298,0.0010298
51,1274.21,0.76491,1.02709,1.01012,1,0.97923,0.9939,0.87214,0.56302,0.99981,0.94204,0.00101,0.00101,0.00101
52,1299.52,0.74767,0.97073,0.99927,0.95515,0.98304,0.99232,0.87797,0.55837,1.00059,0.944,0.0009902,0.0009902,0.0009902
53,1322.82,0.69084,1.01431,0.96908,0.96695,0.96923,0.99079,0.8639,0.58004,0.97584,0.95626,0.0009704,0.0009704,0.0009704
54,1346.96,0.67824,0.87361,0.96789,0.96908,0.96432,0.99163,0.863,0.58096,0.93345,0.95906,0.0009506,0.0009506,0.0009506
55,1372.08,0.7374,0.87552,0.97851,0.96908,0.96432,0.99163,0.863,0.58096,0.93345,0.95906,0.0009308,0.0009308,0.0009308
56,1396.38,0.71945,0.89144,1.03518,0.96146,0.95385,0.98965,0.86079,0.57203,0.91878,0.94271,0.000911,0.000911,0.000911
57,1425.82,0.5903,0.85079,0.93041,0.94112,0.98354,0.98983,0.86983,0.56107,0.91069,0.9342,0.0008912,0.0008912,0.0008912
58,1449.86,0.72078,0.85083,0.99643,0.97014,0.99962,0.99176,0.87615,0.55639,0.86023,0.92553,0.0008714,0.0008714,0.0008714
59,1474.39,0.62556,0.74134,0.93824,0.97014,0.99962,0.99176,0.87615,0.55639,0.86023,0.92553,0.0008516,0.0008516,0.0008516
60,1499.9,0.65711,0.81466,0.96486,0.9846,0.98339,0.99286,0.87155,0.581,0.83213,0.93697,0.0008318,0.0008318,0.0008318
61,1524.38,0.65845,0.89396,0.96579,0.98459,0.98295,0.99411,0.87149,0.57622,0.81322,0.93525,0.000812,0.000812,0.000812
62,1547.91,0.66628,0.80927,1.02212,1,0.98273,0.99415,0.87985,0.56179,0.80971,0.93598,0.0007922,0.0007922,0.0007922
63,1578.34,0.61389,0.81302,0.9606,1,0.98273,0.99415,0.87985,0.56179,0.80971,0.93598,0.0007724,0.0007724,0.0007724
